English
M0001;Manual door opening: [CLICK] in the middle of the gate leaves.
M00B1;There is not enough power to operate the door.
M0002;Press [F] key to turn on/off the flashlight.
M0008;Press [A] or [D] keys to select an option, and [ENTER] key to accept.
M0009;Press [TAB] key to open the operations tablet.
M0A13;Press [L] key to consult the protocol.
M0014;The savegame is no longer valid, it corresponds to a previous version.
M0A15;Saving progress...
M0B15;Saving
M0015;The progress has been saved.
M0016;The game has been restored to the selected progress point.
M0B16;The game has been restored from the last point of saved progress.
M0017;No progress saved.
M0019;Function not yet implemented.
M0020;Out of fuel.
M0021;[X] Exit | [W][A][S][D] To move | [1][2][3][4] Speed | [Q][E] Gripper up/down <br>[Z] Gripper open/close | [F] Laser guide | [SPACE] Toggle camera
M0021_Pivoteable; | [RIGHT CLICK] + [MOUSE] To rotate
M0021_Pivoteable_Limpio;[RIGHT CLICK] + [MOUSE] To rotate
M0021_ToogleCam;Press [SPACE] to change the crane camera.
M0026;It is not possible to save progress at this time.
M0032;It is not possible to rest at this time. The reactor has to be idle, or stable and controlled by the Assistant.
M0035;You can't keep running! You must wait and recover.
M0036;You haven't rested in hours, your movements will be slower and slower.
M0039;Keys [0] to [9] | [ENTER] to send | [BACKSPACE] to correct | [SPACE] to exit
M0041;You can't pick it up, your hands are full.
M0042;The fuel can is empty.
M0045;The Assistant is currently executing the requested command.
M0045B;The Assistant is out of service at this time.
M0053;To walk, press the [W] [A] [D] [S] keys.
M0054;Hold down the [SHIFT] key if you want to run.
M0055;Open
M0056;Take
M0057;Pick up
M0058;Adjust
M0059;Drop
M0060;Use
M0061;Do you want to wear the hazmat suit?
M0062;Hazmat Suit
M0063;Do you want to take off your hazmat suit?
M0064;You are wearing the hazmat suit.
M0065;You are no longer wearing the hazmat suit.
M0067;Unstable core. The crane cannot be operated.
M0068;Force
M0069;Unread notifications on the tablet
M0070;[ENTER] To skip
M0071;You cannot leave the limits of the reactor.
M0074;Back
M0077;The remnants of the Control Rods have been removed.
M0078;HAZMAT SUIT 
M0079;Excess energy generation
M0080;An error occurred while saving the configuration.
M0081;An error occurred while saving progress.
M0082;UPGRADE
M0083;Are you sure you want to <color=green><b>PURCHASE UPGRADE</b></color> for <sprite=0>{0} Prestige Points?
M0084;You don't have enough points to purchase the new skill.
M0085;RADIOACTIVE WASTE
M0086;FUEL CYLINDERS
M0087;FREE
M0088;FULL
M0089;EMPTY
M0090;INSUFFICIENT FUNDS
M0091;You don't have enough prestige points.
M0092;Attention! You do not have sufficient permissions.
M0093;The action is not enabled in Training mode.
M0094;There is no power to operate the terminal.
M0095;Press the [RIGHT] mouse button on any component to enter INFORMATION mode.
M0096;Press the [LEFT] mouse button on any component to activate it.
M0097;It is not possible to refill. The tank is full.
M0098;Unable to start fuel disposal task. The fuel cell must be out of the core and the control rods must be inserted.
M0099;There is no electrical power in the storage room.
M0100;Automated task currently in progress.
M0101;The container @ is not empty.
M0102;Automated task in progress.
M01F2;Automated task finished.
M0103;Invalid container ID.
M0104;It is not possible to operate the crane manually.
M0105;It is not possible to operate the crane.
M0106;Exposed fuel cell.
M0107;Service Compliance summary completed.
M0108;You have lost an operating license.
M0109;You have earned an operating license.
M0110;The construction of {0} has started.
M0111;SELECT INSTALL LOCATION
M0112;CORE COOLANT
M0113;FREIGHT PUMP PRIMARY CIRCUIT
MA113;FREIGHT PUMP CONDENSER
MB113;FREIGHT PUMP EXTERNAL CORE
0114;Available
M0115;Taken
M0116;Reserved
M0117;Diesel Generator 1
M0118;Diesel Generator 2
M0119;Battery type not compatible with this battery bank
M0120;Valve stuck
M0121;LOOP 1
M0122;LOOP 2
M0123;LOOP 3
M0124;BYPASS
M0125;Active hydraulic motor. For manual movement, bypass is required.
M0126;RADIATION POISONING
M0127;Request Assistance
M0128;There is no power to use the injector.
M0129;You do not have enough Prestige Points to purchase a dose of Potassium Iodide.
M0130;It is not possible to use the injector when you are wearing the hazmat suit.
M0131;AO has been updated.
M0132;You cannot speed up time while the core is in an unsafe state.
M0133;Construction of {0} finished
M0134;There are no items to display
M0135;Unable to start fuel load task. The core must be empty and the control rods must be inserted.
M0136;The container @ is empty.
M0137;WALK | RUN [SHIFT KEY]<br>Always Run [ALT] + [R] 
M0138;OPERATE | PICK UP<br>OPEN | CLOSE
M0139;INFORMATION<br>MODE
M0140;OPTIONS
M0141;ACTIVATE<br>TABLET
M0142;FAST<br>TIME
M0143;PAUSE
M0144;FLASH<br>LIGHT
M0145;SCREEN<br>SHOT
M0146;Press the [H] key to get help on screen.
M0147;PAGE<br>{0} / {1}
M0148;CHARGE REQUESTED	
M0149;CHARGING...
M0150;AVAILABLE
M0151;NO BATTERY INSTALLED
M0152;AWARD
M0153;CLAIM AWARD
M0154;Report generated successfully
M0155;Failed to retrieve saved progress statistics.
M0156;<color="red">Insufficient internal power</color>
M0157;DECONTAMINATION MODULE
M0158;Last analysis
M0159;Game speed reverted to normal for security reasons
M0160;Select the type of analysis
M0161;Full analysis
M0162;Selective analysis
M0163;Show pop-up help icons (Re-enable in Options)
M0164;ANALYZE
M0165;The item has been analyzed and added to the maintenance report.
M0166;The area was analyzed.
M0167;No analyzable components were found.
M0168;REANALYZE
M0169;Analysis Cost: <sprite=0>{0} Prestige Points
M0170;Impossible to purchase, you have reached the maximum capacity
M0171;NO ITEMS DETECTED. TO ANALYZE THE ENVIRONMENT, CLICK ON THE ANALYZE BUTTON
M0172;Bonus for brave repair of live cable during reactor operation!
M0173;The part is damaged and cannot be used.
M0174;The doors of the train are open
M0175;BRAKES
M0176;Partially restored Prestige Points, Level and Experience
M0177;Clear Report
M0178;It was not possible to clean the maintenance report, there is a process in progress.
M0179;You can't speed up time outside
M0180;Progress:
M0181;UI
M0182;Play
M0183;LOG saved
CABLE_REPARADO;CABLE REPAIRED
BDC_MOTOR_DANADO;SPARE PART REPLACED
BDC_INTEGRIDAD;The control rods are deteriorated. It is not possible to fully absorb the remaining power generation.
REF_BAJO_VOLUMEN;There is not enough volume of coolant in the primary circuit.
REF_BAJA_VELOCIDAD;The circulation speed of the coolant in the primary circuit is too low.
EVA_BAJO_VOLUMEN;There is not enough volume of coolant in the condensing circuit.
EVA_BAJA_VELOCIDAD;The coolant circulation speed in the condensing circuit is too low.
VALVULAS_CERRADAS;The drain valves of one or more evaporators are closed.
FASTTIME_TITULO;Fast Time
FASTTIME_AVISO;How many hours do you want to speed up?
MENU_TIEMPO_TITULO;TIME SPEED
MENU_TIEMPO_STOP;Stop on new alarm
MENU_TIEMPO_S0;NORMAL
MENU_TIEMPO_S1;FAST
MENU_TIEMPO_S2;FASTEST
MENU_TIEMPO_S3;OFFLINE FAST TIME
MENU_TIEMPO_S4;FROZEN TIME
MENU_TIEMPO_AYUDA;[SPACE BAR] to cycle speeds | [T] to set speed | [ESC] Close | [0] Freeze [1] Normal / [2] Fast / [3] Fastest
T_FUEL_CORE_1;Core Fuel
AUTO01ON;Automated Pressurizer control has been started.
AUTO01OFF;Automated control of the Pressurizer has stopped.
AUTO02ON;Automated control rod operation has been started.
AUTO02OFF;Automated control rod operation has stopped.
AUTO03ON;Automated Reactor control has been started.
AUTO03OFF;Automated Reactor control has stopped.
AUTO04ON;Automated control of fuel level of the generating sets has started.
AUTO04OFF;Automated control of fuel level of the generating sets has stopped.
