Russian
M0001;Ручное открытие двери: [ЩЁЛКНИТЕ] по центру створок.
M00B1;Недостаточно энергии для работы двери.
M0002;Нажмите [F], чтобы включить/выключить фонарик.
M0008;Нажмите [A] или [D] для выбора опции и [ENTER] для подтверждения.
M0009;Нажмите [TAB], чтобы активировать оперативный планшет.
M0A13;Нажмите [L], чтобы ознакомиться с протоколом. 
M0014;Файл сохранения больше не действителен, поскольку относится к предыдущей версии.
M0A15;Сохранение...
M0B15;Сохранение
M0015;Прогресс сохранён.
M0016;Игра восстановлена с выбранной точки сохранения.
M0B16;Игра восстановлена с последней точки сохранения.
M0017;Сохранённого прогресса нет.
M0019;Функция ещё не реализована.
M0020;Топливо закончилось.
M0021;[X] Выход | [W][A][S][D] Перемещение | [1][2][3][4] Скорость | [Q][E] Захват вверх/вниз <br>[Z] Открыть/закрыть захват | [F] Лазерный указатель | [ПРОБЕЛ] Сменить камеру
M0021_Pivoteable; | [ПРАВЫЙ КЛИК] + [МЫШЬ] для вращения
M0021_Pivoteable_Limpio;[ПРАВЫЙ КЛИК] + [МЫШЬ] для вращения
M0021_ToogleCam;Нажмите [ПРОБЕЛ], чтобы сменить камеру крана.
M0026;В данный момент сохранение невозможно.
M0032;В данный момент отдых невозможен. Реактор должен бездействовать либо быть стабильным и находиться под управлением помощника.
M0035;Вы больше не можете бежать! Нужно подождать и восстановить силы.
M0036;Вы не отдыхали несколько часов, ваши движения будут становиться всё медленнее.
M0039;Клавиши от [0] до [9] | [ENTER] для отправки | [BACKSPACE] для исправления | [ПРОБЕЛ] для выхода
M0041;Невозможно поднять, руки заняты.
M0042;Канистра с топливом пуста.
M0045;Помощник в данный момент выполняет запрошенную команду.
M0045B;Помощник в данный момент недоступен.
M0053;Для ходьбы нажимайте клавиши [W], [A], [S], [D].
M0054;Удерживайте [SHIFT], чтобы бежать.
M0055;Открыть
M0056;Взять
M0057;Подобрать
M0058;Отрегулировать
M0059;Выбросить
M0060;Использовать
M0061;Хотите надеть защитный костюм?
M0062;Защитный костюм
M0063;Хотите снять защитный костюм?
M0064;На вас надет защитный костюм.
M0065;Вы сняли защитный костюм.
M0067;Нестабильная активная зона. Невозможно управлять краном.
M0068;Сила
M0069;Непрочитанные уведомления на планшете
M0070;[ENTER] для пропуска
M0071;Вы не можете покинуть пределы реактора.
M0074;Назад
M0077;Остатки регулирующих стержней удалены.
M0078;ЗАЩИТНЫЙ КОСТЮМ 
M0079;Избыточная выработка энергии
M0080;Произошла ошибка при сохранении конфигурации.
M0081;Произошла ошибка при сохранении прогресса.
M0082;УЛУЧШЕНИЕ
M0083;Стоимость улучшения: <color=green><b>{0}</b></color> <color=yellow>оч. престижа</color>. Вы уверены, что хотите установить обновление? 
M0084;У вас недостаточно очков для получения нового навыка.
M0085;РАДИОАКТИВНЫЕ ОТХОДЫ
M0086;ТОПЛИВНЫЕ БАЛЛОНЫ
M0087;СВОБОДНО
